id,url,rate,review_count,media_type_id,store_id
1,https://tabelog.com/chiba/A1202/A120201/12046789/,3.02,1,3,1
2,https://tabelog.com/chiba/A1202/A120201/12045649/,3.09,23,3,2
3,https://tabelog.com/chiba/A1202/A120201/12050386/,3.09,17,3,3
4,https://tabelog.com/chiba/A1202/A120201/12012893/,3.15,20,3,4
5,https://tabelog.com/chiba/A1202/A120201/12050715/,3.04,3,3,5
6,https://tabelog.com/chiba/A1202/A120201/12042820/,3.18,20,3,6
7,https://tabelog.com/chiba/A1202/A120201/12050337/,0,,3,7
8,https://tabelog.com/chiba/A1202/A120204/12026317/,3.07,17,3,8
9,https://tabelog.com/chiba/A1202/A120201/12006007/,3.05,20,3,9
10,https://tabelog.com/chiba/A1202/A120201/12042905/,3.09,12,3,10
11,https://tabelog.com/chiba/A1202/A120201/12001716/,3.21,31,3,11
12,https://tabelog.com/chiba/A1202/A120201/12026157/,3.62,149,3,12
13,https://tabelog.com/chiba/A1202/A120201/12044362/,3.09,20,3,13
14,https://tabelog.com/chiba/A1202/A120201/12002781/,3.25,20,3,14
15,https://tabelog.com/chiba/A1202/A120201/12051524/,0,1,3,15
16,https://tabelog.com/chiba/A1202/A120201/12047073/,3.14,10,3,16
17,https://tabelog.com/chiba/A1202/A120201/12036707/,3.23,17,3,17
18,https://tabelog.com/chiba/A1202/A120201/12000502/,3.25,20,3,18
19,https://tabelog.com/chiba/A1202/A120201/12050053/,3.09,14,3,19
20,https://tabelog.com/chiba/A1202/A120201/12046690/,3.09,8,3,20
21,https://tabelog.com/chiba/A1202/A120201/12028829/,3.3,37,3,21
22,https://tabelog.com/chiba/A1202/A120201/12046669/,3.02,1,3,22
23,https://tabelog.com/chiba/A1202/A120201/12044361/,3.01,4,3,23
24,https://tabelog.com/chiba/A1202/A120201/12031775/,3.5,104,3,24
25,https://tabelog.com/chiba/A1202/A120201/12033747/,3.3,17,3,25
26,https://tabelog.com/chiba/A1202/A120201/12043322/,3.09,5,3,26
27,https://tabelog.com/chiba/A1202/A120201/12000405/,3.01,10,3,27
28,https://tabelog.com/chiba/A1202/A120201/12001482/,3.06,18,3,28
29,https://tabelog.com/chiba/A1202/A120201/12048391/,3.08,6,3,29
30,https://tabelog.com/chiba/A1202/A120201/12016746/,3.28,70,3,30
31,https://tabelog.com/chiba/A1202/A120201/12001739/,3.28,27,3,31
32,https://tabelog.com/chiba/A1202/A120201/12001665/,3.54,103,3,32
33,https://tabelog.com/chiba/A1202/A120201/12047449/,3.01,1,3,33
34,https://tabelog.com/chiba/A1202/A120201/12037071/,3.41,16,3,34
35,https://tabelog.com/chiba/A1202/A120201/12046800/,3.06,4,3,35
36,https://tabelog.com/chiba/A1202/A120201/12002952/,3.16,11,3,36
37,https://tabelog.com/chiba/A1202/A120201/12050558/,3.06,4,3,37
38,https://tabelog.com/chiba/A1202/A120201/12035615/,3.36,20,3,38
39,https://tabelog.com/chiba/A1202/A120201/12045192/,3.09,12,3,39
40,https://tabelog.com/chiba/A1202/A120201/12044276/,3.19,8,3,40
41,https://tabelog.com/chiba/A1202/A120201/12045364/,3.08,25,3,41
42,https://tabelog.com/chiba/A1202/A120201/12050251/,0,0,3,42
43,https://tabelog.com/chiba/A1202/A120201/12002547/,3.17,9,3,43
44,https://tabelog.com/chiba/A1202/A120201/12048041/,3.15,6,3,44
45,https://tabelog.com/chiba/A1202/A120201/12032676/,3.01,8,3,45
46,https://tabelog.com/chiba/A1202/A120201/12030982/,3.25,23,3,46
47,https://tabelog.com/chiba/A1202/A120201/12041079/,3.41,35,3,47
48,https://tabelog.com/chiba/A1202/A120201/12034269/,3.15,9,3,48
49,https://tabelog.com/chiba/A1202/A120201/12014610/,3.27,21,3,49
50,https://tabelog.com/chiba/A1202/A120201/12000106/,3.58,133,3,50
51,https://tabelog.com/chiba/A1202/A120201/12043600/,3.48,61,3,51
52,https://tabelog.com/chiba/A1202/A120201/12032960/,3.42,32,3,52
53,https://tabelog.com/chiba/A1202/A120201/12040124/,3.47,36,3,53
54,https://tabelog.com/chiba/A1202/A120201/12037457/,3.19,12,3,54
55,https://tabelog.com/chiba/A1202/A120201/12038656/,3.37,34,3,55
56,https://tabelog.com/chiba/A1202/A120201/12041041/,3.09,32,3,56
57,https://tabelog.com/chiba/A1202/A120201/12048241/,3,1,3,57
58,https://tabelog.com/chiba/A1202/A120201/12049588/,0,0,3,58
59,https://tabelog.com/chiba/A1202/A120201/12040847/,3.5,40,3,59
60,https://tabelog.com/chiba/A1202/A120201/12046691/,3.3,12,3,60
61,https://tabelog.com/chiba/A1202/A120201/12049101/,0,0,3,61
62,https://tabelog.com/chiba/A1202/A120201/12049747/,3.07,3,3,62
63,https://tabelog.com/chiba/A1202/A120201/12002771/,3.54,52,3,63
64,https://tabelog.com/chiba/A1202/A120201/12047048/,3.07,5,3,64
65,https://tabelog.com/chiba/A1202/A120204/12000160/,3.07,17,3,65
66,https://tabelog.com/chiba/A1202/A120201/12044735/,3.08,9,3,66
67,https://tabelog.com/chiba/A1202/A120201/12000198/,3.34,32,3,67
68,https://tabelog.com/chiba/A1202/A120201/12040899/,3.08,6,3,68
69,https://tabelog.com/chiba/A1202/A120201/12024377/,3.52,48,3,69
70,https://tabelog.com/chiba/A1202/A120201/12032975/,3.57,105,3,70
71,https://tabelog.com/chiba/A1202/A120201/12033669/,3.47,20,3,71
72,https://tabelog.com/chiba/A1202/A120201/12020929/,3.47,20,3,72
73,https://tabelog.com/chiba/A1202/A120201/12037374/,3.09,10,3,73
74,https://tabelog.com/chiba/A1202/A120201/12002917/,3.47,55,3,74
75,https://tabelog.com/chiba/A1202/A120201/12039863/,3.05,9,3,75
76,https://tabelog.com/chiba/A1202/A120201/12039731/,3.34,25,3,76
77,https://tabelog.com/chiba/A1202/A120204/12041223/,3.09,14,3,77
78,https://tabelog.com/chiba/A1202/A120201/12028938/,3.01,5,3,78
79,https://tabelog.com/chiba/A1202/A120201/12001456/,3.13,14,3,79
80,https://tabelog.com/chiba/A1202/A120201/12033138/,3.35,12,3,80
81,https://tabelog.com/chiba/A1202/A120201/12035457/,3.1,14,3,81
82,https://tabelog.com/chiba/A1202/A120201/12014560/,3.34,17,3,82
83,https://tabelog.com/chiba/A1202/A120201/12039271/,3.41,27,3,83
84,https://tabelog.com/chiba/A1202/A120201/12038628/,3.22,13,3,84
85,https://tabelog.com/chiba/A1202/A120201/12029177/,3.08,10,3,85
86,https://tabelog.com/chiba/A1202/A120201/12006216/,3.24,84,3,86
87,https://tabelog.com/chiba/A1202/A120201/12030131/,3.09,16,3,87
88,https://tabelog.com/chiba/A1202/A120201/12001847/,3.48,51,3,88
89,https://tabelog.com/chiba/A1202/A120201/12023587/,3.38,28,3,89
90,https://tabelog.com/chiba/A1202/A120201/12043140/,3.15,7,3,90
91,https://tabelog.com/chiba/A1202/A120201/12020358/,3.33,48,3,91
92,https://tabelog.com/chiba/A1202/A120201/12049707/,3,1,3,92
93,https://tabelog.com/chiba/A1202/A120201/12040690/,3.44,22,3,93
94,https://tabelog.com/chiba/A1202/A120201/12001076/,3.66,229,3,94
95,https://tabelog.com/chiba/A1202/A120201/12045089/,3.02,1,3,95
96,https://tabelog.com/chiba/A1202/A120201/12031086/,3.24,14,3,96
97,https://tabelog.com/chiba/A1202/A120201/12032875/,3.26,12,3,97
98,https://tabelog.com/chiba/A1202/A120201/12027497/,3.08,15,3,98
